Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Lipo","R_2010_5025Metric",-139.207112,-79.688455,90.000000,bottom
"C1","225","C_0603_1608Metric",-131.200000,-86.500000,180.000000,bottom
"C7","105","C_0603_1608Metric",-134.390000,-114.950000,90.000000,bottom
"C17","225","C_0603_1608Metric",-132.707112,-81.938455,-90.000000,bottom
"C18","225","C_0603_1608Metric",-134.207112,-81.938455,-90.000000,bottom
"C20","475","C_0603_1608Metric",-136.707112,-78.438455,-90.000000,bottom
"C21","104","C_0603_1608Metric",-133.600000,-90.300000,-90.000000,bottom
"C22","222","C_0603_1608Metric",-161.320002,-81.438455,180.000000,bottom
"C23","222","C_0603_1608Metric",-165.820002,-90.688455,180.000000,bottom
"C24","222","C_0603_1608Metric",-161.070002,-94.438455,0.000000,bottom
"C26","104","C_0603_1608Metric",-131.200000,-88.000000,180.000000,bottom
"J1","PFC24/display","FPC-24P-P0.50mm_Universal",-146.810002,-109.398455,180.000000,bottom
"J2","USB_B_Micro","USB_Micro-B_Molex_47346-0001",-127.320002,-96.468455,90.000000,bottom
"J5","START","PinHeader_1x02_P2.54mm_Vertical",-163.320002,-85.388455,-150.000000,bottom
"J6","SET","PinHeader_1x02_P2.54mm_Vertical",-166.620002,-95.188455,180.000000,bottom
"J7","RESET","PinHeader_1x02_P2.54mm_Vertical",-164.620002,-105.188455,150.000000,bottom
"Q1","IRLML0030TR","SOT-23",-159.070002,-106.438455,180.000000,bottom
"Q2","PMBTA14,215","SOT-23",-159.820002,-88.188455,0.000000,bottom
"Q3","PMBTA14,215","SOT-23",-160.320002,-91.688455,180.000000,bottom
"Q4","PMBTA14,215","SOT-23",-161.850000,-101.350000,180.000000,bottom
"R1","10k","R_0603_1608Metric",-132.820002,-114.938455,90.000000,bottom
"R2","4k7","R_0603_1608Metric",-131.200000,-89.500000,180.000000,bottom
"R7","100k","R_0603_1608Metric",-131.957112,-91.938455,90.000000,bottom
"R8","100k","R_0603_1608Metric",-158.570002,-81.938455,-90.000000,bottom
"R9","470R","R_0603_1608Metric",-135.707112,-81.938455,-90.000000,bottom
"R10","100k","R_0603_1608Metric",-165.570002,-92.188455,0.000000,bottom
"R12","100k","R_0603_1608Metric",-161.070002,-95.938455,180.000000,bottom
"R13","100k","R_0603_1608Metric",-158.570002,-84.938455,90.000000,bottom
"R14","100k","R_0603_1608Metric",-163.820002,-94.688455,-90.000000,bottom
"R18","100k","R_0603_1608Metric",-163.070002,-97.438455,180.000000,bottom
"R19","39k","R_0603_1608Metric",-160.070002,-84.938455,-90.000000,bottom
"R20","39k","R_0603_1608Metric",-163.070002,-91.438455,-90.000000,bottom
"R21","39k","R_0603_1608Metric",-163.070002,-98.900000,0.000000,bottom
"U2","STM32G071KxT","LQFP-32_7x7mm_P0.8mm",-135.570002,-98.688455,-90.000000,bottom
"U5","LIS3MDL","LGA-12_2x2mm_P0.5mm",-134.400000,-85.500000,180.000000,bottom
"Y1","32k768","PinHeader_1x02_P2.00mm_Vertical",-139.320002,-89.688455,180.000000,bottom
